date,top5_realized_return,portfolio_return_after_cost,benchmark_return,equity,benchmark_equity,drawdown
2025-08-13,0.03252068609587122,0.005904137219174245,0.0018442883684828774,17068552.113264665,13797342.385898275,0.0
2025-08-14,0.007377524003456815,0.0008755048006913629,0.00019776905597488652,17083495.71258068,13800071.073276896,0.0
2025-08-15,0.052780104993412166,0.009956020998682435,-0.0024132976052879205,17253579.354626033,13766767.394802954,0.0
2025-08-18,-0.021519592012075518,-0.004903918402415104,-0.008909969945565947,17168969.209321354,13644105.911067663,-0.004903918402415108
2025-08-19,-0.030477112558786313,-0.006695422511757263,-0.0042042875712886025,17054015.706373595,13586742.166164415,-0.011566507108505042
2025-08-20,-0.010895348230617196,-0.00277906964612344,-0.001714547097199298,17006621.4089795,13563447.056823023,-0.014313432625811529
2025-08-21,-0.005364616438200942,-0.0016729232876401883,-0.0005115640960945377,16978170.635980338,13556508.484289473,-0.015962410638685975
2025-08-22,0.0478299225928426,0.008965984518568521,0.0038571158105629062,17130396.65105615,13608797.507500255,-0.00713954484678303
2025-08-25,0.06431489125357204,0.012262978250714408,0.01065247728501068,17340466.332614165,13753764.913825212,0.0
2025-08-26,0.010202793149554324,0.0014405586299108648,0.005972182165288321,17365446.291036293,13835904.903349126,0.0
2025-08-27,0.02297048293139241,0.003994096586278482,0.002036064813681784,17434805.560786527,13864075.70248828,0.0
2025-08-28,-0.05471710070551461,-0.011543420141102923,-0.00533617603834474,17233548.27511993,13790094.553930866,-0.011543420141102878
2025-08-29,-0.0258497052921407,-0.005769941058428141,-0.0040674120760065035,17134111.717344914,13734004.556812936,-0.01724675634570416
2025-09-01,0.031085555693256994,0.0056171111386513995,0.006217111138651399,17230355.92712331,13819390.389521386,-0.01172652215422787
2025-09-02,0.04799569791866461,0.008999139583732923,0.0058936061131226875,17385414.30518889,13900836.433200698,-0.0028329111801925766
2025-09-03,-0.029522727916493307,-0.006504545583298662,-0.005803053135540578,17272330.085356254,13820169.140750377,-0.009319029963586356
2025-09-04,-0.024403823981967367,-0.005480764796393474,-0.00629155756279127,17177664.506672747,13733218.751073834,-0.014748719348618766
2025-09-05,0.021575846968877356,0.0037151693937754714,-0.0008250234426923607,17241482.44010448,13721888.523660576,-0.011088343945564794
2025-09-08,0.05585110774288353,0.010570221548576706,0.007991255000026593,17423728.72932228,13831543.633935085,-0.0006353286490994314
2025-09-09,0.04248745265659082,0.007897490531318165,0.005308893348303472,17561332.461982362,13904973.823930051,0.0
2025-09-10,0.009429075127611198,0.0012858150255222395,0.0028988741972747717,17583913.08713017,13945282.593762025,0.0
2025-09-11,0.029020755492707682,0.005204151098541537,0.001916123525949873,17675422.427739218,13972003.477815952,0.0
2025-09-12,0.008620488124106495,0.001124097624821299,-0.0006639429292901021,17695291.328107953,13962726.86489884,0.0
2025-09-15,-0.03070356521624351,-0.006740713043248702,-0.005873715424590583,17576012.44704849,13880713.780743139,-0.006740713043248747
2025-09-16,-0.0036144296743257478,-0.0013228859348651497,-0.005168746231162001,17552761.387391273,13808967.893703084,-0.008054681783638107
2025-09-17,0.003273892502403131,5.4778500480626136e-05,0.00025194776870970416,17553722.901339367,13812447.032352088,-0.008000344506547519
2025-09-18,0.016255106223071736,0.002651021244614348,0.0011178797344975277,17600258.193672888,13827887.686973374,-0.0053705323451843645
2025-09-19,0.03505157767200671,0.006410315534401342,0.00022662532144828966,17713081.402181264,13831021.436465384,0.0
2025-09-22,0.029049842918807633,0.0052099685837615275,0.002054866993941116,17805365.999808237,13859442.34590767,0.0
2025-09-23,0.009885299559745642,0.0013770599119491283,0.0010284230020708883,17829885.055544157,13873695.715212077,0.0
2025-09-24,-0.0022494770643553207,-0.0010498954128710643,-0.001492008137891001,17811165.541012324,13852996.048302358,-0.001049895412870927
2025-09-25,-0.04501287151950482,-0.009602574303900964,-0.00466326532413356,17640132.500465672,13788395.85219495,-0.010642388018058502
2025-09-26,0.031187373912265604,0.005637474782453121,-0.004818860655544695,17739578.302596178,13721951.493919732,-0.005064909429682407
2025-09-29,0.033789715527002495,0.0061579431054005,0.0022731736886666405,17848817.61649736,13753143.873012869,0.0
2025-09-30,0.07907120029628087,0.015214240059256173,0.001609725201811866,18120373.81248863,13775282.655309403,0.0
2025-10-01,0.031691417615585096,0.00573828352311702,0.002142784447086631,18224353.654969554,13804800.116737423,0.0
